cobb fir
craw onto
croon twa
crow nato
crown oat
crown tao
nato crow
now actor
oat crown
onto craw
own actor
rot cowan
row acton
row canto
tao crown
tor cowan
torn waco
tow acorn
twa croon
two acorn
waco torn
warn coot
wart coon
won actor
worn coat
-1
aim swelt
ames wilt
ami swelt
astm wile
elm waist
emil swat
emil wast
est wilma
islam wet
late swim
let swami
lewis mat
lewis tam
lim sweat
lim waste
lima stew
lima west
lime swat
lime wast
mail stew
mail west
mali stew
mali west
malt wise
mast wile
mat lewis
maw stile
mel waist
mesa wilt
mila stew
mila west
mile swat
mile wast
miles twa
mist wale
mist weal
salem wit
same wilt
seam wilt
selma wit
semi walt
set wilma
siam welt
sima welt
slime twa
smile twa
stem wail
stew lima
stew mail
stew mali
stew mila
stile maw
swam tile
swami let
swami tel
swat emil
swat lime
swat mile
sweat lim
swelt aim
swelt ami
swim late
swim tale
swim teal
tale swim
tam lewis
teal swim
tel swami
tile swam
twa miles
twa slime
twa smile
wail stem
waist elm
waist mel
wale mist
walt semi
wast emil
wast lime
wast mile
waste lim
weal mist
welt siam
welt sima
west lima
west mail
west mali
west mila
wet islam
wile astm
wile mast
wilma est
wilma set
wilt ames
wilt mesa
wilt same
wilt seam
wise malt
wit salem
wit selma
-1
gale scm
gel scam
leg scam
scam gel
scam leg
scm gale
-1
metro rpm
prom term
romp term
rpm metro
term prom
term romp
-1
ken met
met ken
-1
elton los
elton sol
enol lost
enol slot
enos toll
len stool
lens loot
lens tool
lent oslo
lent solo
leon lost
leon slot
lest loon
lest nolo
let olson
let solon
lone lost
lone slot
loon lest
loot lens
los elton
lost enol
lost leon
lost lone
lost noel
lot olsen
nell soot
noel lost
noel slot
nolo lest
nose toll
olsen lot
olson let
olson tel
onto sell
oslo lent
sell onto
slot enol
slot leon
slot lone
slot noel
snell too
sol elton
solo lent
solon let
solon tel
soon tell
soot nell
stool len
tel olson
tel solon
tell soon
toll enos
toll nose
too snell
tool lens
-1
acs penis
acs snipe
acs spine
ansi spec
aps since
aspen sci
aspen sic
cane piss
case snip
case spin
epic sans
inc passe
ness pica
nice pass
panic sse
pass nice
passe inc
pecan sis
penis acs
penis sac
pica ness
piss cane
sac penis
sac snipe
sac spine
san spice
sans epic
sap since
sci aspen
sec spain
sen spica
sian spec
sic aspen
sin space
since aps
since sap
since spa
sis pecan
snip case
snipe acs
snipe sac
spa since
space sin
spain sec
spec ansi
spec sian
spica sen
spice san
spin case
spine acs
spine sac
sse panic
-1
met unity
mute tiny
tiny mute
unity met
-1
dig fruit
digit fur
fruit dig
fur digit
-1
crud scan
curd scan
ncar scud
scan crud
scan curd
scud ncar
-1
apr gull
gal purl
gar pull
gull apr
gull par
gull rap
lag purl
pall rug
par gull
pull gar
pull rag
purl gal
purl lag
rag pull
rap gull
rug pall
-1
ale tutu
lea tutu
lute tau
tau lute
tutu ale
tutu lea
-1
age died
agee did
aid edge
did agee
died age
edge aid
edge ida
ida edge
-1
-1
atom cud
coat mud
coda tum
cot duma
cud atom
cud moat
duct mao
duma cot
duma oct
mao duct
moat cud
mud coat
oct duma
tum coda
-1
ainu usa
usa ainu
-1
e's pile
i's peel
peel i's
pile e's
-1
acrid bob
arid cobb
bad boric
bib draco
bid carob
bid cobra
bird boca
bob acrid
bob dirac
boca bird
boca drib
boric bad
boric dab
carob bid
cobb arid
cobb raid
cobra bid
cod rabbi
dab boric
dirac bob
draco bib
drib boca
rabbi cod
raid cobb
-1
feb whore
fob where
where fob
whore feb
-1
helix sop
hex polis
hex spoil
polis hex
sop helix
spoil hex
-1
ewe topsy
peste yow
poesy wet
posey wet
sepoy wet
steep yow
sweep toy
topsy ewe
topsy wee
toy sweep
wee topsy
weep yost
wet poesy
wet posey
wet sepoy
yost weep
yow peste
yow steep
-1
cruz saul
saul cruz
-1
cal ounce
cone ucla
lac ounce
once ucla
ounce cal
ounce lac
ucla cone
ucla once
-1
deck plus
des pluck
kelp scud
luck sped
pluck des
plus deck
puck sled
scud kelp
sled puck
sped luck
-1
clod one
cod enol
cod leon
cod lone
cod noel
col done
col node
cold one
cole don
cole nod
con dole
cone old
coo lend
cool den
cool end
cool ned
coon del
coon led
dec loon
dec nolo
del coon
den cool
dole con
dole nco
don cole
done col
end cool
enol cod
led coon
lend coo
leon cod
lone cod
loon dec
nco dole
ned cool
nod cole
node col
noel cod
nolo dec
old cone
old once
once old
one clod
one cold
-1
ace whose
awe chose
case howe
cease how
cease who
chaos ewe
chaos wee
chase owe
chase woe
chose awe
chow ease
ease chow
eeoc shaw
eeoc wash
ewe chaos
how cease
howe case
owe chase
shaw eeoc
shea weco
wash eeoc
weco shea
wee chaos
who cease
whose ace
woe chase
-1
next poi
oxen pit
oxen tip
pit oxen
poi next
tip oxen
-1
again rho
air hogan
gain hoar
gar hanoi
ghana rio
gina hoar
haag iron
haag orin
hanoi gar
hanoi rag
hoar gain
hoar gina
hogan air
hogan ira
ira hogan
iron haag
noah riga
orin haag
rag hanoi
rho again
riga noah
rio ghana
-1
amp bien
bam pine
bane imp
beam nip
beam pin
bean imp
bema nip
bema pin
bien amp
bien map
bien pam
ibm nape
ibm neap
ibm pane
imp bane
imp bean
map bien
mba pine
nape ibm
neap ibm
nip beam
nip bema
pam bien
pane ibm
pin beam
pin bema
pine bam
pine mba
-1
bloke hoy
hob yokel
hobo kyle
hoy bloke
kyle hobo
yokel hob
-1
aim notre
aim tenor
air monte
amen riot
amen tori
amen trio
ami notre
ami tenor
amino ret
ani metro
ant moire
anti more
anti rome
are minot
are timon
ate minor
atom rein
atone rim
ear minot
ear timon
earn omit
eat minor
eaton rim
emit nora
era minot
era timon
erato min
eta minor
ian metro
inert mao
inter mao
into mare
into ream
ion mater
ira monte
iran tome
irma note
irma tone
iron mate
iron meat
iron tame
iron team
item nora
ito reman
maier not
maier ton
main rote
main tore
maine rot
maine tor
mane riot
mane tori
mane trio
manor tie
mao inert
mao inter
maori net
maori ten
mare into
mare oint
mare toni
marie not
marie ton
marin toe
mario net
mario ten
mate iron
mate orin
mater ion
mean riot
mean tori
mean trio
meant rio
meat iron
meat orin
men ratio
metro ani
metro ian
min erato
min orate
minor ate
minor eat
minor eta
minor tea
minot are
minot ear
minot era
minot rae
mira note
mira tone
mire nato
mite nora
moan rite
moan tier
moan tire
moat rein
moe train
moire ant
moire nat
moire tan
mona rite
mona tier
mona tire
monte air
monte ira
moran tie
more anti
more tina
nair tome
name riot
name tori
name trio
naomi ret
nat moire
nato mire
nato rime
near omit
net maori
net mario
nora emit
nora item
nora mite
nora time
norma tie
not maier
not marie
note irma
note mira
notre aim
notre ami
oint mare
oint ream
oman rite
oman tier
oman tire
omit earn
omit near
omit rena
orate min
orin mate
orin meat
orin tame
orin team
rae minot
rae timon
rain tome
ramo tine
ratio men
ream into
ream oint
ream toni
rein atom
rein moat
reman ito
rena omit
ret amino
ret naomi
rim atone
rim eaton
rime nato
rio meant
riot amen
riot mane
riot mean
riot name
rite moan
rite mona
rite oman
roam tine
roman tie
rome anti
rome tina
rot maine
rote main
tame iron
tame orin
tan moire
tea minor
team iron
team orin
ten maori
ten mario
tenor aim
tenor ami
tie manor
tie moran
tie norma
tie roman
tier moan
tier mona
tier oman
time nora
timon are
timon ear
timon era
timon rae
tina more
tina rome
tine ramo
tine roam
tire moan
tire mona
tire oman
toe marin
tome iran
tome nair
tome rain
ton maier
ton marie
tone irma
tone mira
toni mare
toni ream
tor maine
tore main
tori amen
tori mane
tori mean
tori name
train moe
trio amen
trio mane
trio mean
trio name
-1
glum hex
hex glum
-1
prey sst
pry tess
pyre sst
rest spy
spy rest
sst prey
sst pyre
tess pry
-1
demon ion
diem noon
dime noon
dine moon
doom nine
enid moon
ion demon
moen odin
mood nine
moon dine
moon enid
nine doom
nine mood
noon diem
noon dime
odin moen
odin omen
omen odin
-1
ahoy slug
ghoul say
guy shoal
hugo slay
lagos yuh
laugh soy
lay sough
lush yoga
osha ugly
say ghoul
shoal guy
slay hugo
slug ahoy
sough lay
soy laugh
ugly osha
yoga lush
yuh lagos
-1
-1
ani coca
coca ani
coca ian
ian coca
icc noaa
noaa icc
-1
cloy nov
cloy von
nov cloy
von cloy
-1
bock scan
scan bock
-1
gloat j's
j's gloat
-1
bevy nbc
nbc bevy
-1
dip fauna
faun paid
fauna dip
paid faun
-1
-1
bedim wry
brim dewy
dewy brim
dwyer ibm
ibm dwyer
wry bedim
-1
impel x's
m's pixel
pixel m's
x's impel
-1
ale lars
all ares
all sear
all sera
ares all
earl sal
ell rasa
ell sara
lars ale
lars lea
lea lars
lear sal
rasa ell
real sal
sal earl
sal lear
sal real
sara ell
sear all
sera all
-1
dog sully
dolly gus
duly slog
god sully
golly sud
gould sly
gully sod
gus dolly
gus lloyd
lloyd gus
oldy slug
slog duly
slug oldy
sly gould
sod gully
sold ugly
sud golly
sully dog
sully god
ugly sold
-1
chit rex
itch rex
rex chit
rex itch
-1
andy rug
any drug
darn guy
day rung
drag nyu
drug any
drug nay
dug nary
dug ryan
dug yarn
dun gary
dun gray
dung ray
gary dun
gnu yard
grad nyu
gray dun
gun yard
guy darn
guy rand
nag rudy
nary dug
nay drug
nyu drag
nyu grad
rand guy
ray dung
rudy nag
rug andy
rung day
ryan dug
yard gnu
yard gun
yarn dug
-1
ash utah
haas hut
hash tau
hath usa
hut haas
shah tau
tau hash
tau shah
usa hath
utah ash
-1
faust six
fuss taxi
six faust
taxi fuss
-1
2nd goat
goat 2nd
-1
daly puck
day pluck
duck play
duly pack
lady puck
lucky pad
pack duly
pad lucky
play duck
pluck day
puck daly
puck lady
-1
aryl whig
gay whirl
grail why
lyra whig
whig aryl
whig lyra
whirl gay
why grail
-1
dash dunn
dunn dash
dunn shad
shad dunn
-1
hey moses
hoe messy
messy hoe
moses hey
-1
-1
enter hew
ether new
here newt
here went
hew enter
hewn tree
nee threw
net where
new ether
new there
new three
newt here
rene whet
rent whee
teen wehr
ten where
tern whee
then were
there new
three new
threw nee
tree hewn
tree when
wehr teen
went here
were then
whee rent
whee tern
when tree
where net
where ten
whet rene
-1
-1
ezra tva
ezra vat
raze tva
raze vat
tva ezra
tva raze
vat ezra
vat raze
-1
afoul ann
afoul nan
ann afoul
anna foul
annul oaf
faun loan
foul anna
loan faun
nan afoul
oaf annul
-1
onto purr
orr upton
poor runt
poor turn
porto run
porto urn
pour torn
pun rotor
purr onto
rotor pun
run porto
run troop
runt poor
torn pour
torr upon
troop run
troop urn
turn poor
upon torr
upton orr
urn porto
urn troop
-1
omit zip
zip omit
-1
aye slew
easy lew
eel sway
else way
else yaw
ewe slay
lee sway
lew easy
see yawl
sew yale
slay ewe
slay wee
slew aye
slew yea
sway eel
sway lee
way else
wee slay
yale sew
yaw else
yawl see
yea slew
-1
boxy coy
coy boxy
-1
fry welch
welch fry
-1
aau din
din aau
-1
ada prime
adam pier
adam ripe
aide pram
aide ramp
aim drape
aim padre
ama pride
ami drape
ami padre
amid pare
amid pear
amid rape
amid reap
amide apr
amide par
amide rap
ape mardi
apr amide
apr media
arpa diem
arpa dime
dame pair
diem arpa
dime arpa
drama pie
drape aim
drape ami
epa mardi
idea pram
idea ramp
made pair
mae rapid
maid pare
maid pear
maid rape
maid reap
maier pad
mardi ape
mardi epa
mardi pea
mare paid
marie pad
mead pair
media apr
media par
media rap
pad maier
pad marie
padre aim
padre ami
paid mare
paid ream
pair dame
pair made
pair mead
par amide
par media
pare amid
pare maid
pea mardi
pear amid
pear maid
pie drama
pier adam
pram aide
pram idea
pride ama
prime ada
ramp aide
ramp idea
rap amide
rap media
rape amid
rape maid
rapid mae
ream paid
reap amid
reap maid
ripe adam
-1
bloc whim
bow milch
chow limb
climb how
climb who
how climb
limb chow
milch bow
whim bloc
who climb
-1
five laue
laue five
-1
cart vita
tat vicar
tract via
triac tva
triac vat
tva triac
vat triac
via tract
vicar tat
vita cart
-1
ada pimp
adam pip
aida ppm
amid pap
amp paid
dim papa
maid pap
map paid
mid papa
paid amp
paid map
paid pam
pam paid
pap amid
pap maid
papa dim
papa mid
pimp ada
pip adam
ppm aida
-1
all motet
all totem
allot met
alto melt
atom tell
elm total
lam lotte
late molt
lot metal
lotte lam
mall tote
mate toll
meat toll
mel total
melt alto
met allot
metal lot
moat tell
moll tate
moll teat
molt late
molt tale
molt teal
motet all
tale molt
tall tome
tame toll
tate moll
teal molt
team toll
teat moll
tell atom
tell moat
toll mate
toll meat
toll tame
toll team
tome tall
total elm
total mel
tote mall
totem all
-1
heel oboe
oboe heel
-1
amy wow
maw yow
may wow
mow way
mow yaw
way mow
wow amy
wow may
wow yam
yam wow
yaw mow
yow maw
-1
adapt van
panda tva
panda vat
tva panda
van adapt
vat panda
-1
evans twx
twx evans
-1
dank mass
mask sand
mass dank
sand mask
-1
alb damp
amp bald
bad lamp
bad palm
bald amp
bald map
bald pam
balm pad
dab lamp
dab palm
damp alb
damp lab
lab damp
lamb pad
lamp bad
lamp dab
map bald
pad balm
pad lamb
palm bad
palm dab
pam bald
-1
